Experiment,Location,Structure,Fragment,Species,Date_0,Length_cm_0,Width1_cm_0,Width2_cm_0,EV_cm3_0,Survival_0,Comments_0,Date_1,Length_cm_1,Width1_cm_1,Width2_cm_1,EV_cm3_1,Survival_1,Comments_1,Date_2,Length_cm_2,Width1_cm_2,Width2_cm_2,EV_cm3_2,Survival_2,Comments_2,Date_3,Length_cm_3,Width1_cm_3,Width2_cm_3,EV_cm3_3,Survival_3,Comments_3
Depth gradient 2019 - 2020,Pilli Pipa,10,6,Acropora formosa,30-Oct-19,7.2,1.8,2,20,100,,25-Feb-20,8.6,1.8,1.9,23,100,,20-May-20,8.8,1.8,1.8,22,100,,7-Oct-20,1.5,1.4,2.1,4,10,
Depth gradient 2019 - 2020,Pilli Pipa,10,7,Acropora formosa,30-Oct-19,7.5,1.7,1.6,16,100,,25-Feb-20,10.6,2.3,2.1,40,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,8,Acropora formosa,30-Oct-19,9.6,2.1,2.4,38,100,,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,1,1,Acropora verweyi,30-Oct-19,4.8,6,4.1,96,100,,25-Feb-20,1.5,1.5,0.8,2,5,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,2,Acropora verweyi,30-Oct-19,4.3,3.2,2.7,29,100,,25-Feb-20,4.7,2.6,2.4,23,90,,20-May-20,4.9,2.3,2.5,22,80,,7-Oct-20,8.3,4.6,3.9,118,30,
Depth gradient 2019 - 2020,Pilli Pipa,1,3,Acropora verweyi,30-Oct-19,6.1,2.8,2.9,39,100,,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,1,4,Acropora verweyi,30-Oct-19,6,4.2,2.6,54,100,,25-Feb-20,5.7,3.7,2.8,47,90,,20-May-20,6.5,3,2.7,41,60,,7-Oct-20,7.1,3,4.9,87,50,
Depth gradient 2019 - 2020,Pilli Pipa,1,5,Acropora verweyi,30-Oct-19,7.3,1.6,1.4,13,100,,25-Feb-20,5.4,1.6,1.7,12,70,,20-May-20,7,2.3,1.9,24,75,,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,1,6,Acropora verweyi,30-Oct-19,5.9,5.1,3.3,82,100,,25-Feb-20,6,4.1,3,59,60,,20-May-20,6.1,3.9,5.5,106,90,,7-Oct-20,4.9,3.9,1.8,31,10,
Depth gradient 2019 - 2020,Pilli Pipa,1,7,Acropora verweyi,30-Oct-19,6.8,3.2,2.9,50,100,,25-Feb-20,6.6,2.1,1.6,18,60,,20-May-20,6.9,2.8,3.4,52,80,,7-Oct-20,,,,,0,Dead
